Fondsposition per,"05.Juni2026"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"TSCO","TESCO PLC","Nichtzyklische Konsumgüter","Aktien","26.445.403,09","0,26","26.445.403,09","5.026.442,00","5,26","Vereinigtes Königreich","London Stock Exchange","GBP"
"SSE","SSE PLC","Versorger","Aktien","26.405.863,16","0,26","26.405.863,16","950.041,00","27,79","Vereinigtes Königreich","London Stock Exchange","GBP"
"AD","KONINKLIJKE AHOLD DELHAIZE NV","Nichtzyklische Konsumgüter","Aktien","25.297.946,85","0,25","25.297.946,85","705.661,00","35,85","Niederlande","Euronext Amsterdam","EUR"
"UCB","UCB SA","Gesundheitsversorgung","Aktien","25.129.602,00","0,25","25.129.602,00","96.282,00","261,00","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"ERIC B","ERICSSON B","IT","Aktien","25.074.597,20","0,25","25.074.597,20","2.259.030,00","11,10","Schweden","Nasdaq Omx Nordic","SEK"
"EBS","ERSTE GROUP BANK AG","Finanzwesen","Aktien","24.072.319,80","0,24","24.072.319,80","234.623,00","102,60","Österreich","Wiener Boerse Ag","EUR"
"SDZ","SANDOZ GROUP AG","Gesundheitsversorgung","Aktien","23.811.341,21","0,23","23.811.341,21","339.407,00","70,16","Schweiz","SIX Swiss Exchange","CHF"
"ASSA B","ASSA ABLOY B","Industrie","Aktien","23.375.757,79","0,23","23.375.757,79","779.753,00","29,98","Schweden","Nasdaq Omx Nordic","SEK"
"SUNB","SUNBELT RENTALS HOLDINGS INC","Industrie","Aktien","22.782.738,88","0,22","22.782.738,88","330.186,00","69,00","Vereinigtes Königreich","London Stock Exchange","GBP"
"ALC","ALCON AG","Gesundheitsversorgung","Aktien","22.750.404,55","0,22","22.750.404,55","393.146,00","57,87","Schweiz","SIX Swiss Exchange","CHF"
"FER","FERROVIAL NV","Industrie","Aktien","22.628.263,14","0,22","22.628.263,14","387.603,00","58,38","Spanien","Bolsa De Madrid","EUR"
"ADS","ADIDAS N AG","Zyklische Konsumgüter ","Aktien","22.516.139,90","0,22","22.516.139,90","139.462,00","161,45","Deutschland","Xetra","EUR"
"DANSKE","DANSKE BANK","Finanzwesen","Aktien","22.100.197,02","0,22","22.100.197,02","500.407,00","44,16","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"SWED A","SWEDBANK","Finanzwesen","Aktien","21.981.402,59","0,22","21.981.402,59","712.952,00","30,83","Schweden","Nasdaq Omx Nordic","SEK"
"PRU","PRUDENTIAL PLC","Finanzwesen","Aktien","21.800.121,21","0,22","21.800.121,21","1.980.224,00","11,01","Vereinigtes Königreich","London Stock Exchange","GBP"
"EXPN","EXPERIAN PLC","Industrie","Aktien","21.766.907,38","0,21","21.766.907,38","717.379,00","30,34","Vereinigtes Königreich","London Stock Exchange","GBP"
"GALD","GALDERMA GROUP N AG","Gesundheitsversorgung","Aktien","21.385.302,84","0,21","21.385.302,84","121.553,00","175,93","Schweiz","SIX Swiss Exchange","CHF"
"EQNR","EQUINOR","Energie","Aktien","21.231.854,77","0,21","21.231.854,77","653.182,00","32,51","Norwegen","Oslo Bors Asa","NOK"
"SEB A","SKANDINAVISKA ENSKILDA BANKEN","Finanzwesen","Aktien","21.224.753,82","0,21","21.224.753,82","1.249.324,00","16,99","Schweden","Nasdaq Omx Nordic","SEK"
"SLHN","SWISS LIFE HOLDING AG","Finanzwesen","Aktien","20.636.592,64","0,20","20.636.592,64","22.525,00","916,16","Schweiz","SIX Swiss Exchange","CHF"
"SIKA","SIKA AG","Materialien","Aktien","20.574.961,66","0,20","20.574.961,66","126.461,00","162,70","Schweiz","SIX Swiss Exchange","CHF"
"MT","ARCELORMITTAL SA","Materialien","Aktien","20.269.110,96","0,20","20.269.110,96","342.268,00","59,22","Frankreich","Euronext Amsterdam","EUR"
"ACS","ACS ACTIVIDADES DE CONSTRUCCION Y","Industrie","Aktien","20.203.550,70","0,20","20.203.550,70","160.473,00","125,90","Spanien","Bolsa De Madrid","EUR"
"CBK","COMMERZBANK AG","Finanzwesen","Aktien","20.133.984,50","0,20","20.133.984,50","542.695,00","37,10","Deutschland","Xetra","EUR"
"ADYEN","ADYEN NV","Finanzwesen","Aktien","19.893.063,80","0,20","19.893.063,80","24.337,00","817,40","Niederlande","Euronext Amsterdam","EUR"
"KBC","KBC GROEP","Finanzwesen","Aktien","19.722.500,00","0,19","19.722.500,00","175.000,00","112,70","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"REP","REPSOL SA","Energie","Aktien","19.657.028,28","0,19","19.657.028,28","851.691,00","23,08","Spanien","Bolsa De Madrid","EUR"
"III","3I GROUP PLC","Finanzwesen","Aktien","19.599.191,70","0,19","19.599.191,70","766.118,00","25,58","Vereinigtes Königreich","London Stock Exchange","GBP"
"VOD","VODAFONE GROUP PLC","Kommunikation","Aktien","19.064.157,29","0,19","19.064.157,29","14.910.828,00","1,28","Vereinigtes Königreich","London Stock Exchange","GBP"
"AMS","AMADEUS IT GROUP SA","Zyklische Konsumgüter ","Aktien","19.017.589,36","0,19","19.017.589,36","354.277,00","53,68","Spanien","Bolsa De Madrid","EUR"
"GIVN","GIVAUDAN SA","Materialien","Aktien","18.774.370,16","0,19","18.774.370,16","6.007,00","3.125,41","Schweiz","SIX Swiss Exchange","CHF"
"IMB","IMPERIAL BRANDS PLC","Nichtzyklische Konsumgüter","Aktien","18.648.220,79","0,18","18.648.220,79","583.209,00","31,98","Vereinigtes Königreich","London Stock Exchange","GBP"
"EQT","EQT","Finanzwesen","Aktien","18.453.726,17","0,18","18.453.726,17","684.010,00","26,98","Schweden","Nasdaq Omx Nordic","SEK"
"VIE","VEOLIA ENVIRON. SA","Versorger","Aktien","18.314.092,80","0,18","18.314.092,80","525.060,00","34,88","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"VWS","VESTAS WIND SYSTEMS","Industrie","Aktien","18.036.657,89","0,18","18.036.657,89","777.463,00","23,20","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"DNB","DNB BANK","Finanzwesen","Aktien","17.872.956,70","0,18","17.872.956,70","684.410,00","26,11","Norwegen","Oslo Bors Asa","NOK"
"HO","THALES SA","Industrie","Aktien","17.521.333,20","0,17","17.521.333,20","75.393,00","232,40","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"SAMPO","SAMPO CLASS A","Finanzwesen","Aktien","17.449.594,96","0,17","17.449.594,96","1.964.602,00","8,88","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"HEI","HEIDELBERG MATERIALS AG","Materialien","Aktien","17.421.128,25","0,17","17.421.128,25","97.189,00","179,25","Deutschland","Xetra","EUR"
"ML","MICHELIN","Zyklische Konsumgüter ","Aktien","17.238.185,48","0,17","17.238.185,48","540.721,00","31,88","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"DTG","DAIMLER TRUCK HOLDING E AG","Industrie","Aktien","17.049.043,08","0,17","17.049.043,08","414.516,00","41,13","Deutschland","Xetra","EUR"
"ABN","ABN AMRO BANK NV","Finanzwesen","Aktien","16.480.655,10","0,16","16.480.655,10","487.305,00","33,82","Niederlande","Euronext Amsterdam","EUR"
"AV.","AVIVA PLC","Finanzwesen","Aktien","16.406.085,23","0,16","16.406.085,23","2.348.534,00","6,99","Vereinigtes Königreich","London Stock Exchange","GBP"
"IHG","INTERCONTINENTAL HOTELS GROUP PLC","Zyklische Konsumgüter ","Aktien","16.332.295,53","0,16","16.332.295,53","116.678,00","139,98","Vereinigtes Königreich","London Stock Exchange","USD"
"PUB","PUBLICIS GROUPE SA","Kommunikation","Aktien","16.295.405,84","0,16","16.295.405,84","186.361,00","87,44","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"A5G","AIB GROUP PLC","Finanzwesen","Aktien","16.292.210,27","0,16","16.292.210,27","1.610.698,00","10,12","Irland","Irish Stock Exchange - All Market","EUR"
"HLMA","HALMA PLC","IT","Aktien","15.971.470,19","0,16","15.971.470,19","295.692,00","54,01","Vereinigtes Königreich","London Stock Exchange","GBP"
"LDO","LEONARDO FINMECCANICA SPA","Industrie","Aktien","15.944.357,00","0,16","15.944.357,00","307.450,00","51,86","Italien","Borsa Italiana","EUR"
"BESI","BE SEMICONDUCTOR INDUSTRIES NV","IT","Aktien","15.797.922,60","0,16","15.797.922,60","58.209,00","271,40","Niederlande","Euronext Amsterdam","EUR"
"UMG","UNIVERSAL MUSIC GROUP NV","Kommunikation","Aktien","15.677.244,00","0,15","15.677.244,00","863.760,00","18,15","Niederlande","Euronext Amsterdam","EUR"
"PKO","POWSZECHNA KASA OSZCZEDNOSCI BANK","Finanzwesen","Aktien","15.650.675,16","0,15","15.650.675,16","675.375,00","23,17","Polen","Warsaw Stock Exchange/Equities/Main Market","PLN"
"BMW","BMW AG","Zyklische Konsumgüter ","Aktien","15.603.034,86","0,15","15.603.034,86","221.697,00","70,38","Deutschland","Xetra","EUR"
"KNEBV","KONE","Industrie","Aktien","15.543.683,16","0,15","15.543.683,16","308.774,00","50,34","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"BMPS","BANCA MONTE DEI PASCHI DI SIENA SP","Finanzwesen","Aktien","15.478.767,91","0,15","15.478.767,91","1.730.438,00","8,95","Italien","Borsa Italiana","EUR"
"SHB A","SVENSKA HANDELSBANKEN-A SHS","Finanzwesen","Aktien","15.343.372,54","0,15","15.343.372,54","1.242.651,00","12,35","Schweden","Nasdaq Omx Nordic","SEK"
"PKN","ORLEN SA","Energie","Aktien","15.235.616,20","0,15","15.235.616,20","451.903,00","33,71","Polen","Warsaw Stock Exchange/Equities/Main Market","PLN"
"RYA","RYANAIR HOLDINGS PLC","Industrie","Aktien","15.198.187,20","0,15","15.198.187,20","636.440,00","23,88","Irland","Irish Stock Exchange - All Market","EUR"
"HEIA","HEINEKEN NV","Nichtzyklische Konsumgüter","Aktien","15.126.821,22","0,15","15.126.821,22","226.653,00","66,74","Niederlande","Euronext Amsterdam","EUR"
"GEBN","GEBERIT AG","Industrie","Aktien","14.964.494,70","0,15","14.964.494,70","27.009,00","554,05","Schweiz","SIX Swiss Exchange","CHF"
"NXT","NEXT PLC","Zyklische Konsumgüter ","Aktien","14.941.739,67","0,15","14.941.739,67","94.693,00","157,79","Vereinigtes Königreich","London Stock Exchange","GBP"
"NN","NN GROUP NV","Finanzwesen","Aktien","14.307.505,20","0,14","14.307.505,20","200.610,00","71,32","Niederlande","Euronext Amsterdam","EUR"
